ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
433	"AT1G65820"	"AT1G65820"	chr1	+	24485547	24485595	24485100	24485328	24485708	24485784	433	6,4,4	0,0,1	0,0,0	4,2,5	147	99	1.11022302463e-16	3.11226454445e-16	1.0,1.0,0.729	0.0,0.0,0.0	0.91
441	"AT1G51070"	"BHLH115"	chr1	+	18928234	18928432	18927876	18928130	18928692	18928755	441	0,0,1	4,1,2	5,6,10	1,0,0	297	99	8.3000273321e-13	1.99902066731e-12	0.0,0.0,0.143	0.625,1.0,1.0	-0.827
443	"AT1G29630"	"EXO1"	chr1	+	10350860	10351070	10350354	10350716	10351244	10351420	443	2,2,2	2,5,2	7,4,5	0,1,0	309	99	9.18210638634e-08	1.91480511227e-07	0.243,0.114,0.243	1.0,0.562,1.0	-0.654
444	"AT1G79500"	"KDSA1"	chr1	+	29903602	29903639	29903425	29903486	29903730	29903828	444	1,1,0	1,0,0	10,8,14	0,1,1	136	99	1	1.0	0.421,1.0,NA	1.0,0.853,0.911	-0.211
449	"AT1G80770"	"PDE318"	chr1	+	30355423	30355569	30355114	30355353	30355662	30355786	449	5,2,2	0,0,1	0,0,0	0,1,5	245	99	1	1.0	1.0,1.0,0.447	NA,0.0,0.0	0.816
456	"AT1G11750"	"CLPP6"	chr1	+	3968131	3968185	3968006	3968061	3968346	3968548	456	15,19,9	7,12,6	9,17,11	11,6,5	153	99	0.977081496107	1.0	0.581,0.506,0.493	0.346,0.647,0.587	0.0
458	"AT1G31930"	"XLG3"	chr1	+	11465574	11465660	11465048	11465197	11465750	11466755	458	21,29,22	0,0,0	0,1,0	2,5,3	185	99	0	0.0	1.0,1.0,1.0	0.0,0.097,0.0	0.968
463	"AT1G63770"	"AT1G63770"	chr1	-	23664165	23664272	23663788	23663863	23664613	23664677	463	171,138,131	10,8,8	250,377,282	23,26,28	206	99	0.0865969481735	0.139698850355	0.892,0.892,0.887	0.839,0.875,0.829	0.043
466	"AT1G01910"	"AT1G01910"	chr1	-	314890	315015	314651	314802	315576	315902	466	109,121,127	11,8,14	90,103,120	14,13,19	224	99	0.0602099299594	0.100935876667	0.814,0.87,0.8	0.74,0.778,0.736	0.077
475	"AT1G07350"	"SR45A"	chr1	-	2258749	2258845	2258538	2258602	2259002	2259152	475	6,9,7	1,1,0	0,0,0	3,3,5	195	99	1	1.0	0.753,0.82,1.0	0.0,0.0,0.0	0.858
476	"AT1G61150"	"AT1G61150"	chr1	+	22542816	22542862	22542564	22542673	22542957	22542981	476	13,18,12	28,33,47	10,10,17	39,32,32	145	99	0.68694451494	0.863731706285	0.241,0.271,0.148	0.149,0.176,0.266	0.023
477	"AT1G61150"	"AT1G61150"	chr1	+	22542836	22542862	22542524	22542673	22542957	22542981	477	21,29,30	28,33,47	36,19,27	39,32,32	125	99	0.79599476198	0.97225074499	0.373,0.41,0.336	0.422,0.32,0.401	-0.008
478	"AT1G61150"	"AT1G61150"	chr1	+	22542862	22542981	22542523	22542673	22543106	22543266	478	26,52,42	4,5,8	35,35,37	8,2,4	218	99	0.811780094167	0.984499263139	0.747,0.825,0.705	0.665,0.888,0.808	-0.028
479	"AT1G61150"	"AT1G61150"	chr1	+	22542957	22542981	22542548	22542673	22543106	22543266	479	34,38,55	4,5,8	47,40,40	8,2,4	123	99	0.599343610086	0.764834009886	0.872,0.859,0.847	0.825,0.942,0.889	-0.026
481	"AT1G29220"	"AT1G29220"	chr1	-	10211903	10211939	10211605	10211807	10212133	10212722	481	4,10,4	10,9,6	9,4,9	1,0,3	135	99	7.47794124115e-05	0.000145309994572	0.227,0.449,0.328	0.868,1.0,0.688	-0.517
483	"AT1G47278"	"AT1G47278"	chr1	+	17331227	17331277	17330836	17330916	17331364	17331553	483	1,3,4	20,23,15	32,41,29	3,2,6	149	99	0	0.0	0.032,0.08,0.151	0.876,0.932,0.763	-0.769
487	"AT1G50140"	"AT1G50140"	chr1	-	18575747	18575813	18574606	18574758	18576669	18576721	487	6,2,4	33,24,24	29,19,20	7,2,4	165	99	0	0.0	0.098,0.048,0.091	0.713,0.851,0.75	-0.692
488	"AT1G19800"	"TGD1"	chr1	+	6846539	6846628	6846373	6846470	6846730	6846858	488	19,17,19	9,4,2	16,28,25	2,4,1	188	99	0.0410354221897	0.072340795819	0.526,0.691,0.833	0.808,0.787,0.929	-0.158
489	"AT1G19800"	"TGD1"	chr1	+	6846542	6846628	6846371	6846470	6846730	6846858	489	21,12,17	9,4,2	12,24,23	2,4,1	185	99	0.0521279208864	0.0891387447157	0.555,0.616,0.82	0.763,0.763,0.925	-0.153
493	"AT1G45248"	"AT1G45248"	chr1	-	17163345	17163399	17162962	17163276	17163534	17163683	493	1,0,2	26,49,39	21,26,24	0,0,0	153	99	0	0.0	0.024,0.0,0.032	1.0,1.0,1.0	-0.981
494	"AT1G45248"	"AT1G45248"	chr1	-	17163345	17163420	17162962	17163276	17163534	17163683	494	2,1,2	26,49,39	8,13,8	0,0,0	174	99	0	0.0	0.042,0.011,0.028	1.0,1.0,1.0	-0.973
496	"AT1G07940"	"A3"	chr1	-	2464912	2465076	2464330	2464814	2465409	2465467	496	14,13,15	79,76,89	163,123,146	6,3,10	263	99	0	0.0	0.063,0.06,0.06	0.911,0.939,0.846	-0.838
497	"AT1G64230"	"UBC28"	chr1	+	23834476	23834602	23833749	23833861	23834691	23834819	497	48,71,62	7,23,15	57,62,64	22,22,16	225	99	0.251054109444	0.363815700974	0.751,0.576,0.645	0.533,0.554,0.638	0.082
498	"AT1G64230"	"UBC28"	chr1	+	23834565	23834592	23833773	23833861	23834691	23834819	498	21,24,26	7,23,15	17,14,17	22,22,16	126	99	0.029114458668	0.0524060256024	0.702,0.451,0.577	0.378,0.333,0.455	0.188
501	"AT1G24260"	"SEP3"	chr1	-	8594200	8594242	8593972	8594115	8594325	8594367	501	16,14,11	8,12,7	11,16,9	4,12,6	141	99	0.823664619679	0.991877816656	0.584,0.45,0.525	0.659,0.484,0.513	-0.032
503	"AT1G78790"	"AT1G78790"	chr1	-	29624124	29624178	29623928	29624033	29624260	29624300	503	0,0,2	6,5,8	7,8,8	0,0,2	153	99	1.79856129989e-14	4.65990882244e-14	0.0,0.0,0.139	1.0,1.0,0.721	-0.861
505	"AT1G18900"	"AT1G18900"	chr1	+	6529420	6529643	6528983	6529181	6529776	6532336	505	8,8,4	5,5,4	33,18,18	0,1,0	322	99	1.87057036527e-11	4.20878332186e-11	0.33,0.33,0.235	1.0,0.847,1.0	-0.651
506	"AT1G30810"	"JMJ18"	chr1	-	10941766	10941825	10941469	10941580	10942045	10942292	506	119,95,122	8,11,16	18,23,20	87,108,82	158	99	0	0.0	0.903,0.844,0.827	0.115,0.118,0.133	0.736
515	"AT1G60730"	"AT1G60730"	chr1	-	22359221	22359281	22358937	22359110	22359474	22359675	515	2,2,2	3,5,5	2,1,2	3,3,4	159	99	0.87152471748	1.0	0.293,0.199,0.199	0.293,0.172,0.237	-0.004
519	"AT1G67490"	"GCS1"	chr1	-	25285788	25286040	25285476	25285645	25286120	25286194	519	70,72,60	1,2,0	4,5,11	26,22,16	351	99	0	0.0	0.952,0.91,1.0	0.042,0.06,0.162	0.866
520	"AT1G07780"	"PAI1"	chr1	-	2412193	2412219	2411823	2411929	2412609	2412677	520	0,0,3	1,2,1	5,3,8	1,1,1	125	99	0.000709232509008	0.00134754176712	0.0,0.0,0.704	0.798,0.704,0.864	-0.554
525	"AT1G03090"	"MCCA"	chr1	+	741147	741207	740969	741065	741508	741601	525	13,12,12	1,0,1	0,0,0	14,12,21	159	99	0	0.0	0.89,1.0,0.882	0.0,0.0,0.0	0.924
528	"AT1G72050"	"TFIIIA"	chr1	+	27115641	27115816	27115350	27115491	27115914	27116359	528	1,1,0	18,13,29	33,22,25	0,0,1	274	99	0	0.0	0.02,0.027,0.0	1.0,1.0,0.9	-0.951
532	"AT1G10670"	"ACLA-1"	chr1	+	3535960	3536020	3535773	3535885	3536130	3536307	532	4,0,3	72,70,91	103,78,52	7,8,0	159	99	0	0.0	0.033,0.0,0.02	0.902,0.859,1.0	-0.903
534	"AT1G66570"	"SUC7"	chr1	-	24835836	24835889	24835308	24835478	24836000	24837321	534	25,20,26	7,7,4	21,29,23	12,10,14	152	99	0.0511704076253	0.0891387447157	0.699,0.65,0.809	0.533,0.654,0.517	0.151
535	"AT1G66570"	"SUC7"	chr1	-	24835836	24835900	24835250	24835478	24836000	24837322	535	12,9,13	7,7,4	12,16,10	12,10,14	163	99	0.153785031746	0.234796789541	0.51,0.438,0.664	0.378,0.493,0.303	0.146
536	"AT1G64750"	"DSS1(I)"	chr1	-	24053272	24053395	24052361	24052917	24053618	24053752	536	3,7,6	42,40,26	4,2,11	33,23,31	222	99	0.570013348351	0.732874305023	0.031,0.072,0.093	0.051,0.037,0.137	-0.01
537	"AT1G24485"	"RWK1"	chr1	+	8681003	8681063	8679856	8680464	8681325	8681475	537	22,22,29	1,2,2	3,2,1	13,11,11	159	99	0	0.0	0.932,0.873,0.9	0.126,0.102,0.054	0.808
539	"AT1G19580"	"GAMMACA1"	chr1	+	6776563	6776645	6776242	6776394	6776801	6777456	539	18,13,18	3,2,1	1,5,2	7,4,6	181	99	1.35641041177e-07	2.79453229413e-07	0.766,0.78,0.908	0.072,0.406,0.154	0.607
541	"AT1G55840"	"AT1G55840"	chr1	+	20874057	20874086	20873601	20873945	20874482	20874566	541	8,10,5	0,0,1	0,1,1	8,5,7	128	99	1	1.0	1.0,1.0,0.795	0.0,0.134,0.099	0.854
550	"AT1G62170"	"AT1G62170"	chr1	+	22974539	22974638	22973839	22974460	22974746	22975754	550	0,3,0	3,1,0	2,5,7	1,0,0	198	99	1	1.0	0.0,0.6,NA	0.5,1.0,1.0	-0.533
554	"AT1G19080"	"TTN10"	chr1	+	6584425	6584556	6584240	6584354	6585036	6585131	554	73,82,94	2,0,2	11,13,14	47,61,71	230	99	0	0.0	0.94,1.0,0.953	0.092,0.084,0.078	0.88
555	"AT1G62305"	"AT1G62305"	chr1	-	23028385	23028457	23028186	23028265	23028541	23028642	555	2,1,3	3,6,4	23,13,13	0,1,1	171	99	1	1.0	0.278,0.088,0.303	1.0,0.883,0.883	-0.699
556	"AT1G12230"	"AT1G12230"	chr1	+	4148909	4148975	4148738	4148817	4149079	4149155	556	12,14,17	2,2,0	0,0,3	3,1,7	165	99	9.8503627477e-10	2.15950260238e-09	0.783,0.808,1.0	0.0,0.0,0.205	0.795
561	"AT1G02990"	"AT1G02990"	chr1	-	683022	683077	682731	682892	683174	683317	561	1,2,2	23,14,21	33,25,18	0,3,2	154	99	0	0.0	0.027,0.084,0.058	1.0,0.843,0.853	-0.842
562	"AT1G66240"	"ATX1"	chr1	-	24686777	24686853	24686255	24686590	24687228	24687332	562	48,55,31	0,0,2	3,2,3	43,41,43	175	99	0	0.0	1.0,1.0,0.898	0.038,0.027,0.038	0.932
566	"AT1G54180"	"BRXL3"	chr1	+	20228799	20228877	20228138	20228515	20229030	20229163	566	6,14,6	5,6,2	0,4,6	8,5,7	177	99	0.00606463509238	0.0113961824263	0.402,0.566,0.627	0.0,0.309,0.324	0.321
573	"AT1G48560"	"AT1G48560"	chr1	+	17953552	17953609	17952858	17953430	17953672	17955273	573	50,65,47	7,8,5	12,10,14	37,31,42	156	99	0	0.0	0.819,0.838,0.856	0.171,0.17,0.175	0.666
580	"AT1G12810"	"AT1G12810"	chr1	+	4368019	4368118	4367493	4367791	4368471	4368804	580	4,1,1	5,10,8	24,39,35	3,1,1	198	99	2.22044604925e-16	6.12413345842e-16	0.286,0.048,0.059	0.8,0.951,0.946	-0.768
588	"AT1G64090"	"RTNLB3"	chr1	+	23789703	23789751	23789061	23789584	23789823	23790004	588	24,21,21	8,6,9	31,26,28	2,5,8	147	99	0.0681667731099	0.112081905786	0.669,0.702,0.611	0.913,0.778,0.702	-0.137
589	"AT1G03780"	"TPX2"	chr1	-	948911	948992	948696	948816	949075	949207	589	34,35,38	15,22,19	34,34,49	14,9,7	180	99	0.0190039921466	0.0349428242696	0.555,0.467,0.524	0.572,0.675,0.794	-0.165
590	"AT1G03780"	"TPX2"	chr1	-	949733	949796	949540	949621	949882	950125	590	27,41,28	19,19,10	34,29,40	12,9,14	162	99	0.176924322713	0.264040069715	0.465,0.569,0.631	0.634,0.663,0.636	-0.089
595	"AT1G24265"	"AT1G24265"	chr1	+	8600787	8600892	8600583	8600655	8601004	8601078	595	0,1,1	10,18,23	2,1,1	16,17,8	204	99	0.272140637041	0.387800407783	0.0,0.026,0.021	0.057,0.028,0.057	-0.032
598	"AT1G70490"	"ARF2-A"	chr1	-	26565317	26565416	26565004	26565161	26565685	26565790	598	18,27,23	0,1,1	16,12,16	3,1,0	198	99	0.511913281656	0.673362855101	1.0,0.931,0.92	0.727,0.857,1.0	0.089
601	"AT1G79650"	"RAD23B"	chr1	-	29973973	29974045	29973710	29973888	29974115	29974186	601	0,0,0	58,40,50	0,0,3	51,42,61	171	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.028	-0.009
608	"AT1G04945"	"AT1G04945"	chr1	+	1399422	1399465	1399173	1399322	1399569	1399774	608	1,0,0	2,6,3	8,3,12	5,6,5	142	99	1.24322498773e-06	2.47199387095e-06	0.258,0.0,0.0	0.527,0.258,0.626	-0.384
